Transaction ID,Items Purchased
1,"a, b, c, d, e, f"
2,"a, b, c, d"
3,"a, b, c, d, e, f"
4,"a, b, c"
5,"a, b, c"
6,"a, b, c, d"
7,"a, b, c, d, e, f"
8,"b, c, d, e, f"
9,"a, b"
10,"a, b"
11,"a, b, c, d, e, f"
12,"a, d, e, f"
13,"b, c, d, e"
14,"a, b, c, d, e, f"
15,"a, b, d, e, f"
16,"e, f"
17,"a, b, c, e, f"
18,"a, b, c, d, e, f"
19,"a, b, c, d, e"
20,"d, e, f"
21,"a, b, c, d, e, f"
22,"a, b, c, f"
23,"a, b, c, d, e"
24,"c, d, e, f"
25,"a, b, c, d, e, f"
26,"c, d, e, f"
27,"a, b, c, d, f"
28,"a, b, c, d, e, f"
29,"a, b, c, d, e, f"
30,"a, b, e, f"
31,"a, c, d, e, f"
32,"a, b, c, d, e, f"
33,"a, b, c, d, f"
34,"b, c, d, e, f"
35,"a, b, c, d, e"
36,"a, b, c, d, e, f"
37,"c, d, e"
38,"c, d, e, f"
39,"d, e, f"
40,"e, f"
